,Date,Type,Operator,Fatalities,Route,Location,Country,Summary,rtva2
56,9/6/1921,Potez IX,Franco-Roumaine,5.0,Varsovie - Strasbourg - Paris,"Paris, France",France,Crashed while making an approach to Le Bourget Airport in Paris.,7
57,12/5/1921,Bristol 28 Tourer,West Australian Airways,3.0,,"Near Murchinson River, Australia",Australia,,10
58,1/14/1922,Handley Page O/10,Handley Page Transport,5.0,,"Paris, France",France,Crashed at Le Bourget field.,7
59,2/21/1922,Dirigible Roma (airship),Military - U.S. Army Air Service,34.0,,"Near Norfolk, Virginia",USA,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,9
60,4/7/1922,de Havilland DH-18 / Farman F-60 Goliath,Daimler Airways / Grands Express Aeriens,7.0,,"Grandvilliers, France",France,"A midair collision occurred in poor visibility approximately 18 miles north of Beauvais, France. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",7
61,4/8/1922,,,17.0,,"Pao Ting Fou, China",China,All seventeen aboard were Chinese nationals.,6
62,4/13/1922,Vickers Viking,Vickers,3.0,,"Brooklands, England",England,,8
63,10/1/1925,De Havilland DH-4,US Aerial Mail Service,1.0,,"Nittany Mt, Ohio",USA,,5
64,6/3/1922,Bleriot Spad 27,Cie des Messageries Aeriennes,3.0,,"Off Folkestone, Kent, England",England,,8
65,7/26/1922,Breguet 14,Grands Express Aeriens,3.0,,"Cadix, Spain",Spain,,6
66,9/7/1922,De Havilland DH-4,US Aerial Mail Service,1.0,,"Indianapolis, Indiana",USA,,8
67,10/2/1922,de Havilland DH-9,,4.0,,"Venice, Italy",Italy,,6
68,10/25/1922,Breguet 14,Grands Express Aeriens,2.0,,"Larache, Morocco",Morocco,,8
69,12/3/1922,Breguet 14,Grands Express Aeriens,1.0,,"Fez, Morocco",Morocco,,8
70,1/10/1923,Lioré-et-Olivier H-13,Amee de l'Air,3.0,,"Ajaccio, France",France,,7
71,1/17/1923,Breguet 14,Grands Express Aeriens,1.0,,"Barcelona, Spain",Spain,,6
72,1/18/1923,De Havilland DH-4,US Aerial Mail Service,1.0,,"Cheyenne, Wyoming",USA,,8
73,2/26/1923,De Havilland DH-4,US Aerial Mail Service,1.0,,"Meadville, Pennsylvania",USA,,13
74,5/14/1923,Farman F-60 Goliath,Grands Express Aeriens,6.0,,"Monsures, France",France,,7
75,8/27/1923,Blériot Spad 46,Campagnie France Roumaine,2.0,,"Bucharest, Romania",Romania,,8
76,9/7/1923,De Havilland DH-4,US Aerial Mail Service,1.0,,"Colton, Ohio",USA,,5
77,9/14/1923,de Havilland DH-34,Daimler Airways,6.0,,"Berks, England",England,,8
78,11/18/1923,Junkers F-13,CCCP,2.0,,Russia,Russia,,0
79,12/6/1923,De Havilland DH-4,US Aerial Mail Service,1.0,,"Castalia, Ohio",USA,,5
80,12/23/1923,Zeppelin Dixmunde (airship),Military - French Navy,52.0,Toulon - Algiers,Over the Mediterranean Sea,Over the Mediterranean Sea,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",0
81,12/24/1923,De Havilland DH-4,US Aerial Mail Service,1.0,,"Egbert, WY",WY,,3
82,3/7/1924,De Havilland DH-4,US Aerial Mail Service,1.0,,"Grampian, Pennsylvania",USA,,13
83,4/24/1924,Fokker F.III,KLM Royal Dutch Airlines,3.0,"Lympne, England - Rotterdam, The Netherlands",Over the English Channel,Over the English Channel,,0
84,6/8/1924,Junkers F-13,SCADTA,3.0,,"Barranquilla, Colombia",Colombia,,9
85,8/1/1924,De Havilland DH-4,US Aerial Mail Service,1.0,,United States,United States,,0
86,11/6/1924,,Grands Express Aeriens,1.0,,"Cabrerolles, France",France,,7
87,12/21/1924,De Havilland DH-4,US Aerial Mail Service,1.0,,"Goshen, Indiana",USA,,8
88,12/24/1924,de Havilland DH-34B,Imperial Airways,8.0,,"Purley, England",England,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.",8
89,3/22/1925,Junkers F-13,Zakavia,5.0,,"Near Tiflies, Georgia, USSR",USSR,,5
90,4/25/1925,Breguet 14,Grands Express Aeriens,4.0,,"Alicante, Spain",Spain,,6
91,5/25/1925,Breguet 14,Lignes Aeriennes Latecoere,2.0,,"Alicante, Spain",Spain,,6
92,6/25/1925,Fokker (KLM)  F.III,KLM Royal Dutch Airlines,4.0,,"Landrécies, France",France,Crashed in poor weather.,7
93,6/26/1925,Lioré-et-Olivier H-13,Grands Express Aeriens,2.0,,"Alicante, Spain",Spain,,6
94,7/20/1925,Breguet 14,Lignes Aeriennes Latecoere,1.0,,"Rosas, Spain",Spain,,6
95,7/24/1925,Potez IX,CIDNA,1.0,,"Budapest, Hungary",Hungary,,8
96,9/3/1925,Dirigible ZR-1 Shenandoah (airship),Military - U.S. Navy,14.0,"Lakehurst, NJ - S.t Louis, MO","Caldwell, Ohio",USA,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",5
97,9/7/1925,,CIDNA,3.0,,"Toul, France",France,,7
98,11/14/1925,Farman F-60 Goliath,Air Union,2.0,,"Off Boulogne-sur-Mer, France",France,,7
99,2/12/1926,Curtiss Carrier Pigeon,US Aerial Mail Service,1.0,,"Montpelier, Ohio",USA,,5
100,3/8/1926,Junkers F-13,Deutche Lufthansa,1.0,,"Staaken, Germany",Germany,,8
101,5/31/1926,Breguet 14,Air Union,1.0,,English Channel,English Channel,,0
102,7/3/1926,Caudron C-61,Compagnie Internationale de Navigation Aérienne,7.0,Paris - Prague,"Rossaugpt, Czechoslovakia",Czechoslovakia,Crashed while en route.,15
103,7/9/1926,Fokker F-4,KLM Royal Dutch Airlines,2.0,,"Wolvertem, Belgium",Belgium,,8
104,7/24/1926,Junkers F-13,Deutsche Lufthansa,4.0,,"Juist, Germany",Germany,Weather related.,8
105,8/18/1926,Bleriot 155,Air Union,4.0,,"Hurst, Kent, England",England,Crashed in adverse weather conditions.  Engine failure.,8
106,9/26/1926,Sikorsky S-25,,2.0,New York - Paris,"New York, New York",USA,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.,9
107,10/8/1926,Fokker FG III,Deutsche Lufthansa,4.0,,"Bueren, Germany",Germany,Weather related.,8
108,10/21/1926,Handley Page W-10,Imperial Airways,0.0,,English Channel,English Channel,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",0
109,11/11/1926,Breguet 14,Grands Express Aeriens,3.0,,"Cape Bojador, Morocco",Morocco,,8
110,12/16/1926,Ryan M-1,PacifiAir Transport,1.0,,"Medford, Oregon",USA,,7
111,1/12/1927,Fokker F-VII,KLM Royal Dutch Airlines,2.0,,"Lille, France",France,,7
112,3/20/1927,Breguet 14,Grands Express Aeriens,1.0,,"Rabat, Morocco",Morocco,,8
113,3/24/1927,de Havilland DH-9C,Qantas,3.0,,"Tambo, Qld, Australia",Australia,Stalled at low altitiude on approach to land,10
114,4/15/1927,,Varney Air Lines,1.0,,"King Hill, Idaho",USA,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,6
115,4/22/1927,Douglas M-4,US Aerial Mail Service,1.0,,"Goshen, Indiana",USA,,8
116,4/22/1927,Fokker FG III,Deutsche Lufthansa,2.0,,"Floh, Germany",Germany,Engine failure.,8
117,5/2/1927,SPCA Meteore 63,Air Union,1.0,,"Algiers, Algeria",Algeria,,8
118,7/27/1927,Junkers F-13,Deutsche Lufthansa,5.0,,"Amoneburg, Germany",Germany,Engine failure.,8
119,8/22/1927,Fokker F-VIII,KLM Royal Dutch Airlines,1.0,Croydon - Schiphol,"Sevenoaks, England",England,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",8
120,9/3/1927,Fokker Universal,Colonial Air Transport,1.0,,"Willington, Connecticut",USA,,12
121,9/17/1927,Fokker F-VII,Reynolds Airways,7.0,Sightseeing,"Hadley, New Jersey",USA,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,11
122,9/22/1927,BFW M-18,Deutsche Lufthansa,2.0,,"Saale, Germany",Germany,Engine failure.,8
123,9/23/1927,Dornier Merkur,Deutsche Lufthansa,6.0,Berlin - Munich,"Schleiz, Germany",Germany,Broken wing strut.,8
124,10/6/1927,Breguet 14,Lignes Aeriennes Latecoere,2.0,,"Thies, Mauritania",Mauritania,,11
125,10/30/1927,Fairchild FC-2,Colonial Air Transport,4.0,,"New Brunswick, New Jersey",USA,Went into a tailspin and crashed into a corn field,11
126,11/16/1927,Farman F-121 Jabiru,CIDNA,1.0,,"Strasburg, France",France,,7
127,11/16/1927,Junkers F-13,Aero O-Y,6.0,,Over the Gulf of Finland,Over the Gulf of Finland,,0
128,11/29/1927,Douglas M-4,National Air Transport,1.0,,"Corunna, Indiana",USA,,8
129,12/26/1927,Breguet 14,Aeropostale,2.0,,"Almeria, Spain",Spain,,6
130,12/28/1927,Breguet 14,Aeropostale,1.0,,"Abuerio, Spain",Spain,,6
131,12/31/1927,Latécoère 23,Latecoere Airlines,4.0,,France,France,,0
132,1/8/1928,Fairchild FC-2,Colonial Western Airlines,3.0,Minola - Albany - Buffalo,"Near Canajoharie, New York",USA,Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..,9
133,1/16/1928,Latecoere 25,Aeropostale,2.0,,"Solis, Uruguay",Uruguay,,8
134,1/22/1928,Breguet 14,Aeropostale,2.0,,"Tarragona, Spain",Spain,,6
135,1/22/1928,Breguet 14,Aeropostale,1.0,,France,France,,0
136,1/27/1928,Breguet 14,Aeropostale,1.0,,"Almeria, Spain",Spain,,6
137,2/26/1928,Boeing 40,Boeing Air Transport,1.0,,"Marquette, Nebraska",USA,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,9
138,3/3/1928,,,10.0,,"Rio de Janeiro, Brazil",Brazil,,7
139,3/11/1928,Farman F-60 Goliath,Air Union,2.0,,"Off Cape Griz Nez, France",France,,7
140,4/17/1928,Boeing 40,Boeing Air Transport,1.0,,"Federal, Wyoming",USA,,8
141,4/19/1928,Rohrbach Roland,Iberia Airlines,9.0,,"Minuesa, Spain",Spain,Crashed in fog.,6
142,5/7/1928,Latecoere 26,Aeropostale,1.0,,,,,0
143,5/12/1928,Ford 4,Ford Air Freight Inc.,2.0,,"Dearborn, Minnesota",USA,,10
144,5/26/1928,Junkers F-13,Deutsche Lufthansa,3.0,,"Radevormwald, Germany",Germany,Pilot error.,8
145,6/14/1928,AEGK,Deutsche Lufthansa,5.0,,"Frankfurt, Germany",Germany,,8
146,6/22/1928,Douglas M-4,National Air Transport,1.0,Chicago - Dallas,"Lebo, Kansas",USA,The mail plane flew into tornado like winds and crashed to the ground.,7
147,7/10/1928,Junkers F-13,Aero O-Y,6.0,,Over the Gulf of Finland,Over the Gulf of Finland,,0
148,7/13/1928,Vickers 74 Vulcan,Imperial Airways,4.0,Testing,"Purley, England",England,Crashed to the ground shortly after taking off killing two men and two women.,8
149,7/24/1928,Fokker (KLM) F.III,KLM Royal Dutch Airlines,1.0,,"Waalhaven harbor, Netherlands",Netherlands,The plane crashed into the Waalhaven harbor.,12
150,8/25/1928,Ford 4-AT-B Tri Motor,British Columbia Airways,7.0,Victoria - Seattle,"Near Port Townsend, BC, Canada",Canada,Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster.,7
151,9/2/1928,Bleriot Spad 56,CIDNA,3.0,,"Toul, France",France,,7
152,9/4/1928,de Havilland DH.50J,Qantas,1.0,,"Adelaide Hills, Australia",Australia,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire.",10
153,9/4/1928,Fokker Super Universal,National Parks Airways,7.0,,"Pocatello, Idaho",USA,,6
154,9/6/1928,Fokker FG III,Deutsche Lufthansa,3.0,,"Heroldbach, Germany",Germany,Engine failure.,8
155,10/4/1928,Breguet 14,Aeropostale,3.0,,"Gerona, Spain",Spain,,6
156,10/18/1928,Douglas M-4,National Air Transport,1.0,,"Polk, Pennsylvania",USA,The mail plane crashed and burned during the night.,13
157,10/31/1928,Bleriot Spad 56,Air Union,1.0,,"Valence, France",France,,7
158,11/15/1928,Latecoere 32,Aeropostale,1.0,,Off Gibraltar,Off Gibraltar,,0
159,11/24/1928,Hamilton H-47,Universal Airlines,3.0,Cleveland - Chicago,"Edgerton, Ohio",USA,The mail plane crashed in a heavy snow storm.,5
160,11/25/1928,Douglas M-4,National Air Transport,1.0,,"Bristolville, Ohio",USA,The mail plane crashed in a snow storm.,5
161,11/25/1928,Travel Air 4000,Continental Air Lines,3.0,Cleveland - Louisville,"Edgerton, Ohio",USA,The mail plane crashed in a heavy snow storm,5
162,12/1/1928,Ford 4-AT-B Tri Motor,Sunbeam Air Transport Co.,5.0,San Antonio - Amarillo - Tulsa - Denver,"Spur, Texas",USA,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.,6
163,12/3/1928,Dornier Wal,Syndicato Condor,14.0,,Brazil,Brazil,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.",0
164,12/4/1928,Junkers G24,,6.0,,"Rio de Janeiro, Brazil",Brazil,The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.,7
165,12/11/1928,Junkers G-31,Deutsche Lufthansa,3.0,,"Letzlingen, Germany",Germany,Weather related.,8
166,12/20/1928,Douglas M-4,National Air Transport,1.0,Cleveland - Chicago,"Huron, Ohio",USA,The mail plane crashed into an apple tree during a snow storm.,5
167,12/23/1928,Fairchild FC-2,Interstate Airlines,4.0,,"Chattanooga, Tennessee",USA,Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.,10
168,12/31/1928,Blériot Spad 66,CIDNA,2.0,,"Reims, France",France,Crashed into high ground in fog.,7
169,1/5/1929,Fairchild FC-2,Colonial Air Transport,1.0,,"Stafford Springs, Connecticut",USA,,12
170,1/18/1929,Stearman C-38,Varney Air Lines,1.0,,"Cove, Oregon",USA,While attempting to make an emergency landing on the Minam river the plane hit a bolder,7
171,1/25/1929,CMASA Wal,Aeroespresso,2.0,,"Near Corfu, Greece",Greece,,7
172,1/31/1929,Travel Air 4000,Skyline Transportation Company,1.0,,"Morgantown, West Virginia",USA,,14
173,1/31/1929,Latecoere 26,Aeropostale,2.0,,Off Morocco,Off Morocco,,0
174,3/17/1929,Ford 5-AT-B Tri Motor,Colonial Western Airlines,14.0,Sightseeing,"Newark, New Jersey",USA,The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.,11
175,3/30/1929,Fokker F-VIIA,New Standard Airlines,4.0,Los Angeles - Phoenix - El Paso,"Near Beaumont, California",USA,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",11
176,4/21/1929,Ford 5-AT-B Tri-Motor / B-PW-9D,Maddux Airlines / Military - U.S.Army Air Force,6.0,San Diego - Phoenix,"San Diego, California",USA,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.",11
177,5/18/1929,Fokker F-III,MALERT,2.0,,Hungary,Hungary,,0
178,5/22/1929,Cams 53,Aeropostale,4.0,,Algiers,Algiers,,0
179,6/10/1929,Fokker F-X,Pan American Airways,2.0,Santiago de Cuba - Havana,"Santiago de Cuba, Cuba",Cuba,Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.,5
180,6/14/1929,Breguet 14,Aeropostale,1.0,,"Barcelona, Spain",Spain,,6
181,6/17/1929,Handley Page W-10,Imperial Airways,7.0,,"Off Dungeness, England",England,The plane was over the English Channel when an engine failed. The pilot tried to return to the airport but the plane ditched into the English Channel. The plane was named 'City of Ottawa.',8
182,6/24/1929,Ford 5-AT-B Tri-Motor,Northwest Orient Airlines,1.0,St. Paul - Minneapolis,"St. Paul, Minnesota",USA,Crashed near Indian Mounds park shortly after taking off. Triple engine failure.,10
183,6/29/1929,Domier Delphin III,Aero Lloyd,5.0,,"Lake Constance, Switzerland",Switzerland,The aircraft crashed into lake Constance while attempting to landing.,12
184,6/29/1929,Travel Air 4000,Continental Air Lines,1.0,,"Columbus, Ohio",USA,,5
185,8/11/1929,Lockheed Vega,Middle States Airlines,4.0,,"Clovis, New Mexico",USA,,11
186,8/13/1929,Breguet 14,Aeropostale,1.0,,"Perpignan, France",France,,7
187,8/24/1929,Kalinin K-4,Ukvozduchput,1.0,,"Sochi, Russia",Russia,,7
188,8/24/1929,Fokker FG II,Deutsche Lufthansa,4.0,,"Elm, Germany",Germany,Weather related.,8
189,9/2/1929,Lockheed Vega,Associated Aviators,1.0,,"Needles, California",USA,The plane crashed after going into a tail spin. The mechaniwas able to parachute to safety.,11
190,9/3/1929,Ford 5-AT-B Tri Motor,Trans Continental Air Transport,8.0,Albuquerque - Los Angeles,"Mt. Taylor, New Mexico",USA,Crashed in a thunderstorm after being struck by lightning. The plane was named 'The City of San Francisco.',11
191,9/6/1929,de Havilland DH-66 Hercules,Imperial Airways,3.0,"London, England - India","Jask, Iran",Iran,The mail plane caught fire after crash landing.,5
192,9/17/1929,Latecoere 25-3-R,Aeropostale,5.0,,"Off Larache, Morocco",Morocco,Crashed into the Mediterranean.,8
193,9/17/1929,Fairchild 71,Pickwick Airways,1.0,Tijuana - Nogales,"Jacumba, California",USA,The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm.,11
194,9/17/1929,Pitcairn PA-6 Mailwing,Colonial Air Transport,1.0,,"Mt Lamentation, Connecticut",USA,The mail plane crashed into Mt. Lamentation and burst into flames.,12
195,10/26/1929,Short Calcutta,Imperial Airways,7.0,,"Off Spezia, Italy",Italy,The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named 'City of Rome.',6
196,10/29/1929,Stearman C-38,Continental Air Lines,1.0,Cleveland - Louisville,"Mount Vernon, Ohio",USA,The mail plane crashed into a grove of trees 8 miles southwest of Mount Vernon.,5
197,10/31/1929,Loening C-2C,Bremerton-Seattle Air Taxi / Gorst Air Lines,2.0,Bremerton,"Off Bremerton, Washington",USA,The air taxi crashed into Puget Sound as it attempted to take off.,11
198,11/4/1929,Lockheed Vega 5,Corp. Aeronautica de Transportes,4.0,Mexico City - Juarez,"Cerro del Carbon, Mexico",Mexico,The mail plane crashed in dense fog.,7
199,11/6/1929,Junkers G-24,Deutsche Lufthansa,7.0,Amsterdam - Croyden,"Near Godstone, Surrey, England",England,Crashed in heavy rain and fog while attempting to land.,8
200,11/15/1929,Liore et Olivier 190,Air Union,3.0,,"Off Corsica, France",France,Crashed into the Mediterranean in fog.,7
201,11/30/1929,Stearman M-2 Speedmail,Varney Air Lines,1.0,,"Vancouver, Washington",USA,The mail plane crashed into a fog bound tower of the interstate bridge spanning the Columbia River.,11
